c14_ages,c14_sig
1060,50
1190,60
1190,75
1365,220
1430,130
1450,50
1460,165
1465,65
1470,120
1510,40
1515,30
1515,120
1520,100
1520,55
1530,70
1533,34
1538,39
1540,60
1542,31
1550,60
1560,70
1560,70
1560,70
1565,105
1565,90
1570,31
1570,40
1570,40
1580,35
1580,55
1580,40
1580,40
1580,40
1580,40
1580,40
1580,40
1580,40
1580,40
1585,70
1587,38
1588,23
1590,60
1590,40
1590,40
1590,75
1595,70
1595,35
1600,40
1600,50
1600,40
1600,80
1600,60
1600,50
1600,65
1600,34
1601,35
1604,38
1607,37
1608,22
1610,40
1610,45
1610,40
1610,60
1610,60
1610,50
1612,27
1620,40
1620,40
1620,70
1620,40
1620,40
1620,40
1620,130
1621,35
1625,40
1625,90
1628,39
1629,37
1630,40
1630,130
1630,40
1630,40
1630,80
1631,20
1635,38
1635,65
1635,65
1638,21
1639,21
1640,40
1640,40
1640,50
1643,40
1645,25
1645,35
1647,33
1649,21
1650,40
1650,40
1652,31
1653,29
1654,21
1654,43
1655,45
1660,80
1660,40
1660,40
1660,60
1660,60
1666,30
1669,29
1670,55
1670,70
1670,40
1670,50
1674,38
1674,23
1676,168
1677,45
1679,33
1680,23
1680,30
1680,50
1680,22
1680,40
1683,36
1684,24
1684,36
1685,70
1685,30
1689,16
1689,15
1690,55
1690,55
1690,35
1690,40
1690,50
1690,50
1691,20
1691,20
1692,23
1692,20
1693,22
1700,24
1700,55
1700,40
1703,30
1705,31
1707,20
1710,50
1710,40
1710,75
1710,40
1715,27
1715,19
1716,23
1720,80
1720,40
1725,115
1725,115
1730,80
1730,70
1730,31
1736,33
1736,32
1737,41
1740,80
1740,100
1740,35
1744,38
1747,33
1750,20
1750,80
1755,30
1755,90
1757,27
1759,42
1760,29
1760,60
1765,70
1770,25
1770,65
1770,90
1776,22
1780,40
1781,35
1785,30
1785,230
1785,45
1788,26
1790,40
1790,40
1790,50
1790,80
1795,65
1795,20
1796,23
1800,40
1800,40
1800,55
1800,40
1800,155
1800,80
1800,40
1804,51
1805,75
1810,40
1820,50
1825,30
1830,30
1830,40
1830,50
1830,60
1833,30
1835,40
1840,110
1842,16
1845,85
1847,45
1850,40
1850,40
1850,40
1854,32
1855,50
1855,35
1855,35
1860,50
1860,80
1860,110
1860,80
1860,70
1862,29
1870,40
1870,50
1872,22
1873,21
1875,50
1880,30
1884,28
1886,34
1890,20
1890,40
1890,40
1890,130
1896,33
1898,41
1900,50
1900,35
1900,70
1900,22
1901,22
1904,42
1905,26
1905,75
1910,30
1910,130
1911,30
1915,80
1918,36
1920,30
1920,60
1921,20
1921,21
1924,20
1924,27
1925,30
1925,35
1925,100
1927,27
1927,53
1930,40
1930,85
1932,29
1934,45
1935,30
1937,30
1937,23
1939,28
1940,30
1940,70
1940,15
1940,70
1940,70
1944,33
1946,30
1946,25
1947,27
