c14_ages,c14_sig
10503.72,66.25784
9550,100
8870,70
9840,60
9690,60
8429.044,48.23684
8440,90
9360.946,122.06
8202.353,45.5554
9360.9,34.45837
9485,90
8220,430
9880,360
11490,90
8750.129,55.1487
8803.824,102.8992
10020,370
11100,80
9920,530
8340,290
8330,110
8100,220
8180,90
8050,110
8540,110
8590,160
8210,60
8500,120
8180,270
8570,220
9530,300
9650,290
8170,70
8980,130
8270,90
8510,160
8020,90
8475.276,59.4829
9870.492,38.41106
9750,130
9990,225
10375,700
10412.72,548.172
10445,110
10575,90
10780,120
11144.62,59.73748
11700,95
8410,245
9990,200
11170,130
8528.071,29.29379
8050,80
8160,80
10500,2000
11040,35
9550,190
10960,80
10000,490
8120,350
8791.6,240
8175.087,42.35294
9366.286,35.47487
9594.433,18.15025
9730.756,65.68402
11151.35,45.36987
9390.045,221.982
9440,81.31728
8080,80
9004.319,86.05686
8200.3,67.31891
8752.76,18.67619
8842.593,123.8734
8900,210
8170,110
8020,110
9380,300
10270,160
9540,50
10190,160
11550,800
8175,230
9860,300
10600,250
9525,65
10414.82,56.23784
12145.44,40.62494
8147.326,115.6791
10340,830
8872.578,44.63604
10264.27,219.4449
10376.83,156.1738
10822.91,102.9448
8320,60
8330,420
9540,50
9300,60
9990,60
9540,580
10700,70
9990.526,81.78944
12430,490
11010,40
8111.881,139.3123
8210,200
8270,180
8080,90
9080,350
9220,75
8500,70
8580,45
10290,460
8956.484,65.74316
10230,150
8475,282.8427
9130,130
10800,600
10675,95
11704.58,36.02546
9000,240
9530,100
10539.18,721.6243
8490,282.8427
10920,250
8750,230
8350,100
8050,80
8130,130
10110,70
9130,220
10400,600
8050,300
9960,500
10080,460
10140,170
11190,50
8730,110
8270,130
9529.651,176.7879
8250,260
9120,280
9490,140
9852.493,81.47951
10500.38,42.05352
8390,130
8390.552,135.1877
8806.153,22.77569
10142.28,83.61623
9072.575,87.15654
10985.12,118.7112
8290,310
9150,150
10100,400
10436.01,109.3925
9800,250
9540,260
9710,880
10300,400
10050,210
12590,195
9699.756,37.635
11950,350
8510,250
8275,80
8600,325
9120,60
8060,160
8480,390
9760,120
8178,53.66563
8460,100
8660,53.66563
9052.759,59.79275
9158.462,49.92302
10599.79,50.85191
9858.847,81.53989
10130.99,79.06536
10590,50
8520,470
9670,300
10085,400
10990,25
8780,310
8220,260
8820,190
9402.406,112.7078
9494.146,62.4695
8050,90
8994.608,41.62469
8560,160
8594.382,169.5997
10960,30
9350,160
8555,200
8470,50
8790.191,47.96828
9921.765,45.5554
10167.95,16.13508
8762.095,90.64461
8290,100
9200,280
8677.637,62.17997
9775,90
11125,130
9270,100
9640,70
8860,170
8250,130
8010,110
9940,50
8740,130
10960,240
10743.16,79.2624
10060,60
8255,120
10530,140
8030,200
8160,200
9785,220
9165.545,54.54851
11200,250
8940,60
9937.348,66.89647
10000,200
10890.61,48.61214
8368.118,45.5554
8765.07,69.21389
9043.587,118.2531
10176.56,82.32913
8449.438,127.19970000000001
9380,100
8150,250
8340,115
8830,250
9520.358,173.133
8600,245
9470,60
9840,190
10740,70
9285,90
10231.65,88.21438
8680,55
8260,100
9554.661,76.72611
10355.65,117.6748
8330,330
8300,140
12531.43,26.0133
10550,43
11465,77.78175
8590,350
8600,600
8690,380
8890,110
10090,200
10240,300
10260,95
10290,500
10850,550
10896.9,185.6953
10955,135
8470,370
12900,350
9150.282,40.44704
9911.538,49.92302
8278.842,46.91599
9120,90
10795,39
8350,160
8800,200
9088.51,38.12824
8675,120
10210.53,90.3923
9164.123,56.19515
9899.029,79.28784
10860,98.38699
9512.504,38.48993
11320,77.78175
8984.481,94.63182
8340,100
9290,120
9860,70
9870,130
10010,110
10140.38,78.44645
10419.66,58.66814
10980,110
10430,150
8130,105
11171.22,203.4334
10765,25
9750,80
10120,80
8954.634,127.2691
10168,36.60023
11588.79,116.1458
8210,220
8288.969,171.4461
8690.31,152.3577
8855.479,155.082
8952.39,163.3676
9040,285
9665,550
11985.09,108.6259
10980,40
8295.455,25.58409
9670.543,13.45346
10244.15,79.01381
11050,170
8130,80
8220,80
8230,120
8376.497,41.31638
8730,90
9950.843,84.55847
11240,635
9360,105
10671.49,72.56495
9950,110
8400,90
10800,530
11080,40
8487.62,73.70244
9900,80
10950,40
8660,300
11199,570
9300,160
10000,175
9524,450
8470,110
8613.529,61.09197
9868.634,101.4587
12034.97,40.95964
8790,210
10170,250
9350,90
10910,110
9595.574,78.07615
12030,200
9400,270
8700,190
8500,130
8125,250
8890,120
8420,110
8660.962,105.5097
8525,100
10405,95
8302.681,68.68422
8600.137,84.26963
8730,240
9132.927,62.4695
9330,70
9550,66.89647
9600,55
9615.63,49.52263
9780,100
9810,50
9898.372,75.09698
9950,120
9960,80
10015,75
10080,70.71068
10141.87,72.3855
10240.02,64.01826
10540,100
11100,60
8610,42.42641
8386.919,22.87479
8656.608,34.06398
9124.199,41.5725
9844.578,34.05071
10390,40
8302.65,41.46315
8767.91,61.40864
8645,70.71068
11099.52,30.49265
9681.396,78.09172
9865,141.4214
8630,270
8560,190
9920,380
8869.462,68.04485
10119.2,81.83775
10700,870
8760,70
11100,750
8518.845,79.4906
11300,700
12800,870
8274,500
10493,1500
8190.831,130.5396
8320,220
8680,250
8760,400
8830,470
9030,460
9205.531,83.55473
10200,620
11070.67,44.33718
8300,200
8150,300
9000,150
11480,400
8000,80
8030,220
8109.061,75.70606
8270,80
8353.389,56.71515
8430,70
8457.192,86.49502
8530,120
8920,220
9101,440
8080,150
8545,280
12210,120
8205.958,29.78953
8220,100
8400,190
9505.171,167.8571
11250,250
8100,130
8430,140
8740,140
9230,150
10885,50
8947.963,137.7499
8570,90
9316.707,88.7214
8155,230
10190,60
8310,110
8475,650
10880,70
9080,60
8255.809,85.51978
9115,100
9360,60
10906.56,30.20565
9630,100
9823.381,45.46448
9916.367,32.28087
12330,110
8233.555,109.4306
10980,75
9410,290
8503.828,34.23433
9068.898,72.84
8230,90
11509.83,88.70455
12355.39,50.31968
8580,80
8280,1000
8500,220
9880,130
9775,195
8850,100
10070,500
10395,100
10240,90
8270,60
10090,120
8655,127.2792
9790,160
9660,170
11610,300
8690,690
9000,80
8040,80
8103.774,37.38054
10674.21,91.76629
9860,106.066
10550,350
10180,480
9380,250
8060,190
10180,127.2792
9118,83
9825,84.85281
8659.76,22.82609
8874.017,25.22614
9140.225,20.13468
9360,120
8150,130
8280,160
8660,80
8065,212.132
8100,140
10267.63,294.25
8314.941,70.57228
9133.568,117.0172
8850,140
9370,120
9380,140
8450,550
8220,420
8397.139,84.22967
9020,175
9220,220
8360,210
8300,60
8130,130
8170,210
8620,620
9360.541,59.18364
8095,415
8190,100
12368.8,21.2932
8430,113.1371
8100,500
9030,100
9440,50
9455,450
8080,60
8370,230
8880,70
10144.46,25.94093
9570,430
8524.136,53.47735
10935,15
10618.49,98.31456
8870,320
9315.256,25.55071
9275.049,45.41937
9618.703,111.1554
10765.87,22.72554
10788.8,48
10847.12,44.60906
11536.86,40.64516
8380,120
9540,120
9570,320
9405,90
8430,520
8030,160
9622.92,169.2641
8754,35.77709
8550,150
9050,90
9410,250
11050,50
10859.64,44.13122
8810,130
10150,70
8700,65
8890.99,155.082
9333.994,19.32061
9480,160
8250,100
8253.851,88.7214
8943.024,114.7836
8400,70
9150,40
9130,200
9660,140
8170,90
9260.052,182.7623
11385,140
9510,60
9250,70
10100,80
8090,28.86751
8274.736,115.3382
9540,70
9370,70
9873.115,38.41106
10502.91,26.82611
12260,141.4214
8675,270
8015,180
8498.941,32.21253
9814.195,35.14949
10190,300
9900,340
8070,100
11450,340
8739,165
8570,60
10060,60
11360,350
9330,545
10530,103
8568.682,30.69978
8400,130
9310.61,30.03141
10390.87,80.93116
11300,1200
9644.239,98.23958
9921.711,46.151
10221.45,107.2899
10330.91,60.46298
10771.45,173.4714
9908.183,96.72582
8630,150
11080,300
8685,370
8875,125
8638.183,58.256
8250,140
9337.465,195.9105
10980,160
10328.02,49.51575
9022.462,185.4239
9615,225
8000,120
8090,110
8173.698,81.08696
8190,77.78175
8224.523,65.2698
8240,77.78175
9850,160
10343.17,31.23475
9302.094,97.71764
8230,540
8527.09,179.2876
10376.7,176.8103
9600,205
10440.33,66.89647
8884.416,68.37635
9555.039,66.11497
8270,80
9080,90
9204.145,29.4534
8040,90
8030,1970
