calendar_age, ci_lower, mean, ci_upper
7.9000000000e+02, 1.4639337170e-10, 2.0617663643e-07, 1.7669116162e-06
7.9372000000e+02, 1.5145015539e-10, 2.1388082187e-07, 1.8172205764e-06
7.9744000000e+02, 1.5332523133e-10, 2.2205785806e-07, 1.8731145314e-06
8.0116000000e+02, 1.5854210773e-10, 2.3076494226e-07, 1.9166341327e-06
8.0488000000e+02, 1.6831935627e-10, 2.4006528516e-07, 1.9465854412e-06
8.0860000000e+02, 1.7717929988e-10, 2.5002759000e-07, 2.0363214518e-06
8.1232000000e+02, 1.8322371570e-10, 2.6072495406e-07, 2.1419393979e-06
8.1604000000e+02, 1.8926982106e-10, 2.7223274551e-07, 2.2273277865e-06
8.1976000000e+02, 1.9844068164e-10, 2.8462537884e-07, 2.2929844497e-06
8.2348000000e+02, 2.1034897573e-10, 2.9797250847e-07, 2.3375523534e-06
8.2720000000e+02, 2.2350408741e-10, 3.1233573218e-07, 2.4228857439e-06
8.3092000000e+02, 2.3940448521e-10, 3.2776715215e-07, 2.5050662330e-06
8.3464000000e+02, 2.4859965011e-10, 3.4431090424e-07, 2.6333126346e-06
8.3836000000e+02, 2.6079870039e-10, 3.6200806256e-07, 2.7385990703e-06
8.4208000000e+02, 2.8088555909e-10, 3.8090438975e-07, 2.8244610607e-06
8.4580000000e+02, 2.9738996639e-10, 4.0105956722e-07, 2.9689385240e-06
8.4952000000e+02, 3.1460470219e-10, 4.2255610005e-07, 3.1506002313e-06
8.5324000000e+02, 3.1364482633e-10, 4.4550618663e-07, 3.2811588700e-06
8.5696000000e+02, 3.2655685179e-10, 4.7005541871e-07, 3.4496223702e-06
8.6068000000e+02, 3.5665999332e-10, 4.9638301954e-07, 3.6291792973e-06
8.6440000000e+02, 3.7177059569e-10, 5.2469915981e-07, 3.8260002870e-06
8.6812000000e+02, 3.7859576673e-10, 5.5524048147e-07, 4.0806867423e-06
8.7184000000e+02, 3.9494217984e-10, 5.8826519143e-07, 4.2319624008e-06
8.7556000000e+02, 4.1793132530e-10, 6.2404898155e-07, 4.5584776330e-06
8.7928000000e+02, 4.6459034476e-10, 6.6288270551e-07, 4.7481511720e-06
8.8300000000e+02, 5.1399106952e-10, 7.0507234640e-07, 5.0547321387e-06
8.8672000000e+02, 5.6185647376e-10, 7.5094146097e-07, 5.3413288834e-06
8.9044000000e+02, 6.2334279767e-10, 8.0083604187e-07, 5.6929126010e-06
8.9416000000e+02, 6.9563716029e-10, 8.5513157019e-07, 6.0464771617e-06
8.9788000000e+02, 7.5197215682e-10, 9.1424182329e-07, 6.3788536283e-06
9.0160000000e+02, 8.2317988944e-10, 9.7862855092e-07, 6.6050573470e-06
9.0532000000e+02, 8.9695585887e-10, 1.0488102005e-06, 6.9674065863e-06
9.0904000000e+02, 9.8262967740e-10, 1.1253663932e-06, 7.4287946123e-06
9.1276000000e+02, 1.1023400601e-09, 1.2089332661e-06, 7.9933109653e-06
9.1648000000e+02, 1.2551836333e-09, 1.3001842890e-06, 8.5495762990e-06
9.2020000000e+02, 1.4290283845e-09, 1.3997933879e-06, 9.1361553132e-06
9.2392000000e+02, 1.6561114620e-09, 1.5083831210e-06, 9.7744965163e-06
9.2764000000e+02, 1.8416357744e-09, 1.6264689674e-06, 1.0565583744e-05
9.3136000000e+02, 2.0381433500e-09, 1.7544172396e-06, 1.1199857615e-05
9.3508000000e+02, 2.3186067927e-09, 1.8924330936e-06, 1.1683025537e-05
9.3880000000e+02, 2.6653072483e-09, 2.0405833785e-06, 1.2478369186e-05
9.4252000000e+02, 2.9612309281e-09, 2.1988395058e-06, 1.3281197793e-05
9.4624000000e+02, 3.2088638472e-09, 2.3671071493e-06, 1.4169576819e-05
9.4996000000e+02, 3.7426823813e-09, 2.5452031882e-06, 1.4883516071e-05
9.5368000000e+02, 4.3005036732e-09, 2.7327522749e-06, 1.6284981035e-05
9.5740000000e+02, 5.2083281372e-09, 2.9290042828e-06, 1.7506403434e-05
9.6112000000e+02, 5.7129549093e-09, 3.1326115758e-06, 1.8255762223e-05
