calendar_age, ci_lower, mean, ci_upper
7.7070000000e+03, 9.0279915097e-11, 1.9394843924e-07, 1.3404849999e-06
7.7165040000e+03, 9.0980600908e-11, 1.9747506998e-07, 1.3521265287e-06
7.7260080000e+03, 9.1562783803e-11, 2.0120961246e-07, 1.3893511435e-06
7.7355120000e+03, 9.2596142105e-11, 2.0511934994e-07, 1.4244118437e-06
7.7450160000e+03, 9.4571261315e-11, 2.0914940130e-07, 1.4742831632e-06
7.7545200000e+03, 9.5925223068e-11, 2.1324189153e-07, 1.5021347778e-06
7.7640240000e+03, 9.7736196606e-11, 2.1735703020e-07, 1.5249863100e-06
7.7735280000e+03, 9.8023621444e-11, 2.2148757390e-07, 1.5503833777e-06
7.7830320000e+03, 9.8502786541e-11, 2.2566074911e-07, 1.5753184695e-06
7.7925360000e+03, 9.8577802397e-11, 2.2992740397e-07, 1.6045099138e-06
7.8020400000e+03, 9.8663873821e-11, 2.3434381905e-07, 1.6225921479e-06
7.8115440000e+03, 1.0183388817e-10, 2.3895417302e-07, 1.6486487618e-06
7.8210480000e+03, 1.0367512822e-10, 2.4378010623e-07, 1.6860495366e-06
7.8305520000e+03, 1.0437318763e-10, 2.4881961277e-07, 1.7175600291e-06
7.8400560000e+03, 1.0556637883e-10, 2.5405327718e-07, 1.7536232412e-06
7.8495600000e+03, 1.0773912674e-10, 2.5945368326e-07, 1.7806586736e-06
7.8590640000e+03, 1.0992858415e-10, 2.6499405294e-07, 1.8131826551e-06
7.8685680000e+03, 1.1207928276e-10, 2.7065387148e-07, 1.8405202143e-06
7.8780720000e+03, 1.1551502273e-10, 2.7642111165e-07, 1.8940747960e-06
7.8875760000e+03, 1.1908289774e-10, 2.8229185064e-07, 1.9269132545e-06
7.8970800000e+03, 1.2201445813e-10, 2.8826843198e-07, 1.9585467452e-06
7.9065840000e+03, 1.2260419815e-10, 2.9435714536e-07, 1.9789827220e-06
7.9160880000e+03, 1.2595355888e-10, 3.0056603186e-07, 2.0146771830e-06
7.9255920000e+03, 1.3009611158e-10, 3.0690308838e-07, 2.0590525079e-06
7.9350960000e+03, 1.3114758839e-10, 3.1337491497e-07, 2.1042658994e-06
7.9446000000e+03, 1.3341857730e-10, 3.1998571819e-07, 2.1462481771e-06
7.9541040000e+03, 1.3471151150e-10, 3.2673653963e-07, 2.1583474335e-06
7.9636080000e+03, 1.3550899028e-10, 3.3362461259e-07, 2.1996036616e-06
7.9731120000e+03, 1.3713290122e-10, 3.4064284596e-07, 2.2416580983e-06
7.9826160000e+03, 1.3841040576e-10, 3.4777955728e-07, 2.3014704460e-06
7.9921200000e+03, 1.4191148949e-10, 3.5501867315e-07, 2.3407021229e-06
8.0016240000e+03, 1.4449308414e-10, 3.6234063549e-07, 2.3710535474e-06
8.0111280000e+03, 1.5041078561e-10, 3.6972417222e-07, 2.4154877687e-06
8.0206320000e+03, 1.5436905874e-10, 3.7714892174e-07, 2.4393187453e-06
8.0301360000e+03, 1.5727100109e-10, 3.8459868670e-07, 2.4897390924e-06
8.0396400000e+03, 1.5816615986e-10, 3.9206489097e-07, 2.5409979640e-06
8.0491440000e+03, 1.5838626259e-10, 3.9954968209e-07, 2.5880043888e-06
8.0586480000e+03, 1.5870667120e-10, 4.0706809429e-07, 2.6462324719e-06
8.0681520000e+03, 1.6431548744e-10, 4.1464877901e-07, 2.6864067874e-06
8.0776560000e+03, 1.7034914268e-10, 4.2233300302e-07, 2.7428045836e-06
8.0871600000e+03, 1.7150346701e-10, 4.3017187771e-07, 2.7847750458e-06
8.0966640000e+03, 1.7489139285e-10, 4.3822207180e-07, 2.8325740300e-06
8.1061680000e+03, 1.7702574083e-10, 4.4654053233e-07, 2.8900568823e-06
8.1156720000e+03, 1.8294453643e-10, 4.5517895575e-07, 2.9482091074e-06
8.1251760000e+03, 1.8446296568e-10, 4.6417887946e-07, 2.9995482445e-06
8.1346800000e+03, 1.8826353243e-10, 4.7356826279e-07, 3.0611734431e-06
8.1441840000e+03, 1.9079110928e-10, 4.8336025524e-07, 3.1208810556e-06
8.1536880000e+03, 1.9382788157e-10, 4.9355446751e-07, 3.1772104539e-06
8.1631920000e+03, 2.0090232585e-10, 5.0414047362e-07, 3.2346899317e-06
8.1726960000e+03, 2.1101978608e-10, 5.1510257394e-07, 3.2927413710e-06
