calendar_age, ci_lower, mean, ci_upper
5.6000000000e+02, 1.1350429346e-07, 1.6363276184e-05, 7.5163203560e-05
5.7037000000e+02, 1.5835439665e-07, 1.8374907767e-05, 8.1362980899e-05
5.8074000000e+02, 2.2204093012e-07, 2.0594017114e-05, 8.7417994640e-05
5.9111000000e+02, 3.1145097893e-07, 2.3045356650e-05, 9.3210193797e-05
6.0148000000e+02, 4.3551798316e-07, 2.5759716131e-05, 9.8618180370e-05
6.1185000000e+02, 6.0564293650e-07, 2.8771992574e-05, 1.0352143619e-04
6.2222000000e+02, 8.3613403426e-07, 3.2115957339e-05, 1.0933905757e-04
6.3259000000e+02, 1.1446387974e-06, 3.5814800254e-05, 1.1631219373e-04
6.4296000000e+02, 1.5525333293e-06, 3.9867930963e-05, 1.2910828271e-04
6.5333000000e+02, 2.0852241686e-06, 4.4237034439e-05, 1.4894456500e-04
6.6370000000e+02, 2.7723103988e-06, 4.8836961498e-05, 1.6852635784e-04
6.7407000000e+02, 3.6475487551e-06, 5.3537863783e-05, 1.6952626434e-04
6.8444000000e+02, 4.7485641138e-06, 5.8182563426e-05, 1.6897008774e-04
6.9481000000e+02, 6.1162536259e-06, 6.2617543647e-05, 1.6688782424e-04
7.0518000000e+02, 7.7938462749e-06, 6.6729085498e-05, 1.6335621438e-04
7.1555000000e+02, 9.8256016852e-06, 7.0470858640e-05, 1.6195769224e-04
7.2592000000e+02, 1.2255162572e-05, 7.3868492931e-05, 2.0046551233e-04
7.3629000000e+02, 1.5123613208e-05, 7.6992703328e-05, 2.0337753298e-04
7.4666000000e+02, 1.8467339237e-05, 7.9906651571e-05, 2.2236731088e-04
7.5703000000e+02, 1.9239872601e-05, 8.2611984785e-05, 2.3813307231e-04
7.6740000000e+02, 1.7279383514e-05, 8.5029515080e-05, 2.4977534414e-04
7.7777000000e+02, 1.6262262248e-05, 8.7039327349e-05, 2.5660265341e-04
7.8814000000e+02, 1.6537535898e-05, 8.8568955248e-05, 2.5819980091e-04
7.9851000000e+02, 1.8591046564e-05, 8.9680480504e-05, 2.5447030961e-04
8.0888000000e+02, 2.3078749626e-05, 9.0602423272e-05, 2.4564737618e-04
